source,target,type,protocol,direction,trust,firewalled,transport
CHEM-FLD-TT-001,CHEM-CTL-DCS-001,monitors,HART,bidirectional,low,,
CHEM-FLD-PT-001,CHEM-CTL-DCS-001,monitors,HART,bidirectional,low,,
CHEM-FLD-LT-001,CHEM-CTL-DCS-001,monitors,HART,bidirectional,low,,
CHEM-FLD-IO-001,CHEM-CTL-DCS-001,connects-to,PROFIBUS,bidirectional,medium,,
CHEM-FLD-IO-001,CHEM-CTL-DCS-002,connects-to,PROFIBUS,bidirectional,medium,,
CHEM-CTL-DCS-001,CHEM-FLD-FCV-001,actuates,HART,unidirectional,low,,
CHEM-CTL-DCS-001,CHEM-FLD-PUMP-001,controls,PROFINET,unidirectional,low,,
CHEM-CTL-DCS-001,CHEM-FLD-VFD-001,actuates,PROFINET,bidirectional,low,,
CHEM-FLD-TT-002,CHEM-CTL-DCS-002,monitors,HART,bidirectional,low,,
CHEM-FLD-PT-002,CHEM-CTL-DCS-002,monitors,HART,bidirectional,low,,
CHEM-FLD-FT-001,CHEM-CTL-DCS-002,monitors,HART,bidirectional,low,,
CHEM-CTL-DCS-002,CHEM-FLD-FCV-002,actuates,HART,unidirectional,low,,
CHEM-CTL-DCS-002,CHEM-FLD-FCV-003,actuates,HART,unidirectional,low,,
CHEM-FLD-LT-002,CHEM-CTL-DCS-003,monitors,Modbus TCP,bidirectional,low,,
CHEM-FLD-SENSOR-001,CHEM-CTL-DCS-003,monitors,Modbus TCP,bidirectional,low,,
CHEM-CTL-DCS-003,CHEM-FLD-VALVE-001,actuates,Modbus TCP,unidirectional,low,,
CHEM-CTL-DCS-003,CHEM-FLD-PUMP-002,controls,Modbus TCP,unidirectional,low,,
CHEM-CTL-DCS-001,CHEM-SIS-GW-001,connects-to,PROFIsafe,bidirectional,medium,true,
CHEM-SIS-GW-001,CHEM-SIS-LS-001,connects-to,PROFIsafe,bidirectional,medium,true,
CHEM-SIS-PT-001,CHEM-SIS-LS-001,monitors,PROFIsafe,bidirectional,low,,
CHEM-SIS-TT-001,CHEM-SIS-LS-001,monitors,PROFIsafe,bidirectional,low,,
CHEM-SIS-ENG-001,CHEM-SIS-LS-001,programs / operates,PROFIsafe,bidirectional,medium,,
CHEM-SIS-LS-001,CHEM-SIS-SOV-001,actuates,PROFIsafe,unidirectional,low,,
CHEM-SIS-LS-001,CHEM-SIS-SOV-002,actuates,PROFIsafe,unidirectional,low,,
CHEM-FLD-FCV-001,CHEM-PRO-REACTOR-001,actuates,HART,unidirectional,low,,
CHEM-FLD-PUMP-001,CHEM-PRO-REACTOR-001,actuates,PROFINET,unidirectional,low,,
CHEM-FLD-PUMP-001,CHEM-PRO-PIPE-001,actuates,PROFINET,unidirectional,low,,
CHEM-FLD-PUMP-001,CHEM-PRO-TANK-002,actuates,PROFINET,unidirectional,low,,
CHEM-FLD-LT-002,CHEM-PRO-TANK-002,monitors,Modbus TCP,bidirectional,low,,
CHEM-PRO-PIPE-001,CHEM-PRO-COLUMN-001,connects-to,Piping,unidirectional,high,,
CHEM-FLD-FCV-002,CHEM-PRO-COLUMN-001,actuates,HART,unidirectional,low,,
CHEM-FLD-FCV-003,CHEM-PRO-HX-001,actuates,HART,unidirectional,low,,
CHEM-PRO-HX-001,CHEM-PRO-COLUMN-001,actuates,Piping,unidirectional,high,,
CHEM-FLD-VALVE-001,CHEM-PRO-HX-001,actuates,Modbus TCP,unidirectional,low,,
CHEM-FLD-PUMP-002,CHEM-PRO-TANK-001,actuates,Modbus TCP,unidirectional,low,,
CHEM-SIS-SOV-001,CHEM-PRO-REACTOR-001,actuates,PROFIsafe,unidirectional,low,,
CHEM-SIS-SOV-002,CHEM-PRO-REACTOR-001,actuates,PROFIsafe,unidirectional,low,,
CHEM-CTL-DCS-003,CHEM-REM-RTU-001,controls,DNP3,bidirectional,low,true,Leased line + VPN
CHEM-REM-SW-001,CHEM-REM-RTU-001,connects-to,DNP3,bidirectional,low,,
CHEM-REM-LT-001,CHEM-REM-RTU-001,monitors,Modbus TCP,bidirectional,low,,
CHEM-REM-RTU-001,CHEM-REM-PUMP-001,actuates,Modbus TCP,unidirectional,low,,
CHEM-REM-RTU-001,CHEM-REM-VALVE-001,actuates,Modbus TCP,unidirectional,low,,
CHEM-REM-PUMP-001,CHEM-REM-TANK-001,actuates,Modbus TCP,unidirectional,low,,
CHEM-REM-VALVE-001,CHEM-REM-TANK-001,actuates,Modbus TCP,unidirectional,low,,
